Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Exportação;2021;8;Agosto;Cubatão - SP;China;1201;2327686;6484243;Soja, mesmo triturada
Exportação;2021;8;Agosto;Guarujá - SP;China;1201;22263183;42927998;Soja, mesmo triturada
Exportação;2021;8;Agosto;Santos - SP;China;1201;18603632;34015730;Soja, mesmo triturada
Exportação;2021;7;Julho;Cubatão - SP;China;1201;7207239;19770336;Soja, mesmo triturada
Exportação;2021;7;Julho;Guarujá - SP;China;1201;18302303;44839027;Soja, mesmo triturada
Exportação;2021;7;Julho;Santos - SP;China;1201;73389088;193551819;Soja, mesmo triturada
Exportação;2021;6;Junho;Cubatão - SP;China;1201;23901665;60658265;Soja, mesmo triturada
Exportação;2021;6;Junho;Guarujá - SP;China;1201;54332640;97458121;Soja, mesmo triturada
Exportação;2021;6;Junho;Santos - SP;China;1201;111459998;257711576;Soja, mesmo triturada
Exportação;2021;5;Maio;Cubatão - SP;China;1201;32929330;70382074;Soja, mesmo triturada
Exportação;2021;5;Maio;Guarujá - SP;China;1201;127767858;231560782;Soja, mesmo triturada
Exportação;2021;5;Maio;Santos - SP;China;1201;191150105;464510068;Soja, mesmo triturada
Exportação;2021;4;Abril;Cubatão - SP;China;1201;35803172;101062761;Soja, mesmo triturada
Exportação;2021;4;Abril;Guarujá - SP;China;1201;161595554;338857367;Soja, mesmo triturada
Exportação;2021;4;Abril;Santos - SP;China;1201;182267230;517757489;Soja, mesmo triturada
Exportação;2021;3;Março;Cubatão - SP;China;1201;25419294;69219757;Soja, mesmo triturada
Exportação;2021;3;Março;Guarujá - SP;China;1201;127996433;313083343;Soja, mesmo triturada
Exportação;2021;3;Março;Santos - SP;China;1201;174944002;478249726;Soja, mesmo triturada
Exportação;2021;2;Fevereiro;Cubatão - SP;China;1201;8018099;24078241;Soja, mesmo triturada
Exportação;2021;2;Fevereiro;Guarujá - SP;China;1201;37854061;75045391;Soja, mesmo triturada
Exportação;2021;2;Fevereiro;Santos - SP;China;1201;21419132;54341208;Soja, mesmo triturada
Importação;2021;12;Dezembro;Cubatão - SP;Chile;2501;2179421;100317412;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;12;Dezembro;Guarujá - SP;Estados Unidos;2815;3402754;12996938;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;12;Dezembro;Santos - SP;Argentina;1001;19025063;66200000;Trigo e mistura de trigo com centeio
Importação;2021;11;Novembro;Cubatão - SP;Chile;2501;1066539;49047422;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;11;Novembro;Guarujá - SP;Estados Unidos;2815;309342;1553962;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;11;Novembro;Santos - SP;Argentina;1001;19323138;64701000;Trigo e mistura de trigo com centeio
Importação;2021;10;Outubro;Cubatão - SP;Chile;2501;2020488;92967218;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;10;Outubro;Guarujá - SP;Estados Unidos;2815;5895210;30354506;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;10;Outubro;Santos - SP;Argentina;1001;19224660;67208480;Trigo e mistura de trigo com centeio
Importação;2021;9;Setembro;Cubatão - SP;Chile;2501;1098731;50554360;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;9;Setembro;Guarujá - SP;Estados Unidos;2815;4249926;26190588;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;9;Setembro;Santos - SP;Argentina;1001;16376450;59139000;Trigo e mistura de trigo com centeio
Importação;2021;8;Agosto;Guarujá - SP;Estados Unidos;2815;2795679;17045532;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;8;Agosto;Santos - SP;Argentina;1001;24041209;83434620;Trigo e mistura de trigo com centeio
