Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Exportação;2026;6;Junho;Guarujá - SP;101367025;216171222
Exportação;2026;6;Junho;Santos - SP;692789113;1153486375
Exportação;2026;7;Julho;Cubatão - SP;125511765;144899187
Exportação;2026;7;Julho;Guarujá - SP;63643566;127641376
Exportação;2026;7;Julho;Santos - SP;639486199;1103393102
Importação;2019;1;Janeiro;Cubatão - SP;47378878;190856205
Importação;2019;1;Janeiro;Guarujá - SP;25162215;42992183
Importação;2019;1;Janeiro;Santos - SP;55960640;114925396
Importação;2019;2;Fevereiro;Cubatão - SP;48313006;240778589
Importação;2019;2;Fevereiro;Guarujá - SP;19375331;20536818
Importação;2019;2;Fevereiro;Santos - SP;53042203;111715311
Importação;2019;3;Março;Cubatão - SP;18348450;53738765
Importação;2019;3;Março;Guarujá - SP;25654911;32940306
Importação;2019;3;Março;Santos - SP;71138982;161566653
Importação;2019;4;Abril;Cubatão - SP;35170698;162692285
Importação;2019;4;Abril;Guarujá - SP;28962478;43049482
Importação;2019;4;Abril;Santos - SP;81015773;151432808
Importação;2019;5;Maio;Cubatão - SP;22164058;94373214
Importação;2019;5;Maio;Guarujá - SP;27604259;50221509
Importação;2019;5;Maio;Santos - SP;75601422;146819530
Importação;2019;6;Junho;Cubatão - SP;32956394;128779734
Importação;2019;6;Junho;Guarujá - SP;21436161;41786607
Importação;2019;6;Junho;Santos - SP;49394863;106696051
Importação;2019;7;Julho;Cubatão - SP;52889234;247255507
Importação;2019;7;Julho;Guarujá - SP;28910336;57772039
Importação;2019;7;Julho;Santos - SP;63397239;151085442
Importação;2019;8;Agosto;Cubatão - SP;76550292;275155498
Importação;2019;8;Agosto;Guarujá - SP;9353629;18783006
Importação;2019;8;Agosto;Santos - SP;44078684;101361539
Importação;2019;9;Setembro;Cubatão - SP;36371614;191625295
Importação;2019;9;Setembro;Guarujá - SP;30452692;79745862
Importação;2019;9;Setembro;Santos - SP;51143578;111098236
Importação;2019;10;Outubro;Cubatão - SP;43470413;193909434
Importação;2019;10;Outubro;Guarujá - SP;34135790;71691562
Importação;2019;10;Outubro;Santos - SP;70244043;196942160
Importação;2019;11;Novembro;Cubatão - SP;35669810;210078534
Importação;2019;11;Novembro;Guarujá - SP;12804401;24978744
Importação;2019;11;Novembro;Santos - SP;62993509;126918180
Importação;2019;12;Dezembro;Cubatão - SP;17711984;100421189
Importação;2019;12;Dezembro;Guarujá - SP;18521330;33293630
Importação;2019;12;Dezembro;Santos - SP;68438789;179042901
Importação;2020;1;Janeiro;Cubatão - SP;17335841;106080383
Importação;2020;1;Janeiro;Guarujá - SP;25687380;52209473
Importação;2020;1;Janeiro;Santos - SP;85942868;187044404
